Date delivery,Price
05/09/2022,357.45
06/09/2022,417.27
07/09/2022,462.47
08/09/2022,443.52
09/09/2022,345.7
10/09/2022,404.32
11/09/2022,391.49
12/09/2022,408.03
13/09/2022,392.37
14/09/2022,455.81
15/09/2022,369.37
16/09/2022,201.2
17/09/2022,68.77
18/09/2022,77.93
19/09/2022,261.68
20/09/2022,363.43
21/09/2022,379.94
22/09/2022,387.89
23/09/2022,368.33
24/09/2022,351.11
25/09/2022,276.5
26/09/2022,245.93
27/09/2022,310.21
28/09/2022,386.2
29/09/2022,417.14
30/09/2022,315.49
01/10/2022,82.82
02/10/2022,114.75
03/10/2022,209.35
04/10/2022,246.31
05/10/2022,103.19
06/10/2022,100.8
07/10/2022,163.89
08/10/2022,145.34
09/10/2022,146.72
10/10/2022,162.09
11/10/2022,259.87
12/10/2022,282.54
13/10/2022,257.46
14/10/2022,260.65
15/10/2022,156.63
16/10/2022,95.86
17/10/2022,152.61
18/10/2022,183.18
19/10/2022,168.45
20/10/2022,140.22
21/10/2022,163.45
22/10/2022,139.87
23/10/2022,95.75
24/10/2022,80.62
25/10/2022,105.4
26/10/2022,121.4
27/10/2022,124.69
28/10/2022,105.52
29/10/2022,101.06
30/10/2022,117.24
31/10/2022,145.22
01/11/2022,68.86
02/11/2022,71.97
03/11/2022,103.01
04/11/2022,178.54
05/11/2022,132.29
06/11/2022,51.09
07/11/2022,76.1
08/11/2022,95.15
09/11/2022,126.72
10/11/2022,137.25
11/11/2022,125.38
12/11/2022,162.25
13/11/2022,144.88
14/11/2022,160.8
15/11/2022,177.29
16/11/2022,143.76
17/11/2022,99.9
18/11/2022,171.03
19/11/2022,198.62
20/11/2022,210.28
21/11/2022,253.82
22/11/2022,203.88
23/11/2022,177.98
24/11/2022,237.46
25/11/2022,257.93
26/11/2022,239.17
27/11/2022,146.65
28/11/2022,291.64
29/11/2022,371.64
30/11/2022,393.7
01/12/2022,394.36
02/12/2022,339.2
03/12/2022,281.92
04/12/2022,268.51
05/12/2022,341.26
06/12/2022,386.44
07/12/2022,324.83
08/12/2022,387.53
09/12/2022,411.04
10/12/2022,354.64
11/12/2022,326.77
12/12/2022,433.93
13/12/2022,444.48
14/12/2022,443.88
15/12/2022,396.96
16/12/2022,411.31
17/12/2022,268.97
18/12/2022,189.76
19/12/2022,191.93
20/12/2022,185.82
21/12/2022,214.6
22/12/2022,192.64
23/12/2022,185.89
24/12/2022,111.87
25/12/2022,106.01
26/12/2022,40.53
27/12/2022,91.73
28/12/2022,45.9
29/12/2022,13.58
30/12/2022,14.63
31/12/2022,-0.79
01/01/2023,14.91
02/01/2023,123.82
03/01/2023,145.95
04/01/2023,58.94
05/01/2023,107.46
06/01/2023,117.47
07/01/2023,88.81
08/01/2023,68.94
09/01/2023,129.29
10/01/2023,123.13
11/01/2023,84.08
12/01/2023,70.74
13/01/2023,66.64
14/01/2023,29.34
15/01/2023,9.26
16/01/2023,128.75
17/01/2023,133.57
18/01/2023,143.76
19/01/2023,148.21
20/01/2023,180.66
21/01/2023,144.39
22/01/2023,151.15
23/01/2023,202.73
24/01/2023,202.69
25/01/2023,181.74
26/01/2023,167.67
27/01/2023,168.76
28/01/2023,144.7
29/01/2023,123.59
30/01/2023,74.21
31/01/2023,117.32
01/02/2023,93.08
02/02/2023,136.15
03/02/2023,102.61
04/02/2023,146.01
05/02/2023,131.37
06/02/2023,172.96
07/02/2023,172.92
08/02/2023,152.1
09/02/2023,132.54
10/02/2023,125.92
11/02/2023,106.27
12/02/2023,136.31
13/02/2023,163.5
14/02/2023,154.49
15/02/2023,143.52
16/02/2023,136.73
17/02/2023,81.15
18/02/2023,94.67
19/02/2023,114.05
20/02/2023,61.42
21/02/2023,122.45
22/02/2023,148.65
23/02/2023,146.12
24/02/2023,118.3
25/02/2023,89.29
26/02/2023,109.82
27/02/2023,152.27
28/02/2023,148.05
01/03/2023,142.97
02/03/2023,144.31
03/03/2023,136.76
04/03/2023,107.47
05/03/2023,121.79
06/03/2023,150.67
07/03/2023,106.87
08/03/2023,138.89
09/03/2023,127.2
10/03/2023,115.61
11/03/2023,98.61
12/03/2023,95.53
13/03/2023,37.14
14/03/2023,71.48
15/03/2023,127.72
16/03/2023,105.57
17/03/2023,92.35
18/03/2023,109.34
19/03/2023,111.99
20/03/2023,125.17
21/03/2023,115.05
22/03/2023,80.18
23/03/2023,74.71
24/03/2023,53.12
25/03/2023,14.67
26/03/2023,67.69
27/03/2023,92.32
28/03/2023,113.15
29/03/2023,116.54
30/03/2023,81.44
31/03/2023,97.59
01/04/2023,55.77
02/04/2023,67.33
03/04/2023,114.8
04/04/2023,132.07
05/04/2023,140.97
06/04/2023,124.28
07/04/2023,108.63
08/04/2023,116.89
09/04/2023,105.05
10/04/2023,39.97
11/04/2023,59.99
12/04/2023,107.69
13/04/2023,108.41
14/04/2023,128.8
15/04/2023,106.8
16/04/2023,110.1
17/04/2023,124.24
18/04/2023,108.23
19/04/2023,87.52
20/04/2023,111.71
21/04/2023,89.48
22/04/2023,84.47
23/04/2023,85.8
24/04/2023,104.6
25/04/2023,101
26/04/2023,110.72
27/04/2023,112.09
28/04/2023,106
29/04/2023,100.65
30/04/2023,68.29
01/05/2023,87.55
02/05/2023,106.1
03/05/2023,107.8
04/05/2023,97.5
05/05/2023,96.05
06/05/2023,89.52
07/05/2023,66.98
08/05/2023,96.37
09/05/2023,94.64
10/05/2023,107.89
11/05/2023,116.14
12/05/2023,100.51
13/05/2023,78.35
14/05/2023,72
15/05/2023,113.84
16/05/2023,79.3
17/05/2023,78.58
18/05/2023,86.73
19/05/2023,87.28
20/05/2023,46.81
21/05/2023,28.46
22/05/2023,97.33
23/05/2023,72.79
24/05/2023,102.27
25/05/2023,81.65
26/05/2023,69.98
27/05/2023,62.67
28/05/2023,26.55
29/05/2023,21.45
30/05/2023,87.74
31/05/2023,72.32
01/06/2023,72.9
02/06/2023,81.02
03/06/2023,56.37
04/06/2023,49.67
05/06/2023,90.76
06/06/2023,98.14
07/06/2023,100.93
08/06/2023,84.52
09/06/2023,86.68
10/06/2023,55.13
11/06/2023,40.75
12/06/2023,96.4
13/06/2023,90.03
14/06/2023,102.94
15/06/2023,120.31
16/06/2023,127.52
17/06/2023,104.54
18/06/2023,93.02
19/06/2023,116.97
20/06/2023,121.15
21/06/2023,123.47
22/06/2023,125.71
23/06/2023,106.41
24/06/2023,81.82
25/06/2023,75.48
