Date delivery,Date delivery,month,weekday,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,weekday_1,weekday_2,weekday_3,weekday_4,weekday_5,weekday_6,weekday_7,monthly adjustments,S_adjusted_prices,weekly adjustments,price,ARIMA_fitted,SARIMA_fitted,SARIMA_residuals,original_price,trans_SARIMA_fitted,trans_residuals
2024-08-29,2024-08-29,8,3,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,0.0,84.8241914959205,28.085808504079502,112.91,89.10193604600086,89.10193604600086,23.808063953999138,112.91,89.10193604600086,23.808063953999138
2024-08-30,2024-08-30,8,4,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,0.0,106.64,0.0,106.64,86.55089346954281,86.55089346954281,20.089106530457187,106.64,86.55089346954281,20.089106530457187
2024-08-31,2024-08-31,8,5,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,0.0,79.05,0.0,79.05,81.68777811397149,81.68777811397149,-2.6377781139714926,79.05,81.68777811397149,-2.6377781139714926
2024-09-01,2024-09-01,9,6,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,87.7740833333333,-33.189740936119186,7.0656576027858895,61.65,74.67240419997924,74.67240419997924,-13.022404199979242,61.65,74.67240419997924,-13.022404199979242
2024-09-02,2024-09-02,9,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,87.7740833333333,27.2959166666667,0.0,115.07,79.12176321199064,79.12176321199064,35.94823678800935,115.07,79.12176321199064,35.94823678800935
2024-09-03,2024-09-03,9,1,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,87.7740833333333,70.61591666666669,0.0,158.39,125.24177792468205,125.24177792468205,33.14822207531793,158.39,125.24177792468205,33.14822207531793
2024-09-04,2024-09-04,9,2,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,87.7740833333333,10.913441769957501,27.152474896709204,125.84,146.75191622006474,146.75191622006474,-20.91191622006474,125.84,146.75191622006474,-20.91191622006474
2024-09-05,2024-09-05,9,3,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,87.7740833333333,-51.439891837412794,28.085808504079502,64.42,114.14821918722461,114.14821918722461,-49.72821918722461,64.42,114.14821918722461,-49.72821918722461
2024-09-06,2024-09-06,9,4,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,87.7740833333333,-11.644083333333299,0.0,76.13,65.75700141827171,65.75700141827171,10.372998581728282,76.13,65.75700141827171,10.372998581728282
2024-09-07,2024-09-07,9,5,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,87.7740833333333,-8.354083333333293,0.0,79.42,73.78165184131055,73.78165184131055,5.638348158689453,79.42,73.78165184131055,5.638348158689453
2024-09-08,2024-09-08,9,6,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,87.7740833333333,-25.839740936119185,7.0656576027858895,69.0,77.17782418386149,77.17782418386149,-8.177824183861489,69.0,77.17782418386149,-8.177824183861489
2024-09-09,2024-09-09,9,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,87.7740833333333,11.95591666666671,0.0,99.73,85.04752762570817,85.04752762570817,14.682472374291834,99.73,85.04752762570817,14.682472374291834
2024-09-10,2024-09-10,9,1,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,87.7740833333333,-28.734083333333295,0.0,59.04,115.06058912858472,115.06058912858472,-56.020589128584724,59.04,115.06058912858472,-56.020589128584724
2024-09-11,2024-09-11,9,2,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,87.7740833333333,-33.986558230042505,27.152474896709204,80.94,76.06593672233319,76.06593672233319,4.8740632776668065,80.94,76.06593672233319,4.8740632776668065
2024-09-12,2024-09-12,9,3,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,87.7740833333333,-3.5198918374127857,28.085808504079502,112.34,85.36912302576026,85.36912302576026,26.970876974239744,112.34,85.36912302576026,26.970876974239744
2024-09-13,2024-09-13,9,4,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,87.7740833333333,3.035916666666708,0.0,90.81,86.88833635010107,86.88833635010107,3.9216636498989317,90.81,86.88833635010107,3.9216636498989317
